what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1478272326683
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1478272326683
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1478272326698
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1478272326698
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1478272326698
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1478272326698
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1478272326698
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1478272326698
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1478272326698
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1478272326698
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1478272326698
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1478272326714
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1478272326714
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1478272326714
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1478272326745
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1478272326745
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1478272326745
os,sysinfo,,,"win32",1478272326745
arch,sysinfo,,,"x86",1478272326745
ws,sysinfo,,,"win32",1478272326745
locale,sysinfo,,,"en_CA",1478272326745
processors,sysinfo,,,"8",1478272326745
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1478272326745
java.runtime.version,sysinfo,,,"1.8.0_101-b13",1478272326745
java.specification.name,sysinfo,,,"Java Platform API Specification",1478272326745
java.specification.vendor,sysinfo,,,"Oracle Corporation",1478272326745
java.specification.version,sysinfo,,,"1.8",1478272326745
java.vendor,sysinfo,,,"Oracle Corporation",1478272326745
java.version,sysinfo,,,"1.8.0_101",1478272326745
java.vm.info,sysinfo,,,"mixed mode",1478272326745
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1478272326745
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1478272326745
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1478272326745
